x;XR;XK;MR;FR;MK;FK
0;1000000;1000000;1000000;1000000;1000000;1000000
1;999539;999153;999415;999664;999060;999246
2;999077;998303;998827;999328;998116;998490
3;998614;997451;998237;998990;997168;997734
4;998148;996596;997644;998653;996215;996977
5;997681;995737;997047;998314;995256;996218
6;997211;994874;996447;997974;994291;995458
7;996738;994007;995843;997634;993319;994696
8;996263;993136;995234;997292;992339;993932
9;995785;992258;994621;996949;991351;993166
10;995303;991375;994002;996605;990353;992396
11;994818;990484;993377;996258;989344;991624
12;994328;989586;992745;995910;988323;990848
13;993833;988679;992106;995560;987290;990069
14;993333;987763;991459;995208;986241;989284
15;992827;986836;990802;994852;985177;988495
16;992315;985897;990136;994494;984095;987700
17;991796;984945;989459;994133;982992;986898
18;991268;983979;988769;993768;981868;986089
19;990732;982996;988067;993398;980720;985272
20;990187;981995;987349;993024;979545;984445
21;989630;980974;986616;992645;978341;983608
22;989062;979931;985864;992260;977103;982758
23;988481;978863;985093;991868;975830;981896
24;987885;977768;984300;991469;974516;981019
25;987273;976642;983483;991062;973159;980125
26;986643;975483;982640;990646;971753;979213
27;985994;974286;981768;990220;970294;978279
28;985323;973049;980864;989782;968775;977323
29;984628;971765;979925;989331;967191;976339
30;983907;970431;978947;988866;965536;975327
31;983156;969041;977927;988386;963801;974282
32;982374;967589;976860;987887;961979;973200
33;981555;966069;975742;987369;960061;972077
34;980698;964472;974567;986828;958037;970908
35;979797;962792;973330;986263;955896;969687
36;978847;961019;972024;985671;953628;968409
37;977845;959143;970644;985047;951218;967068
38;976785;957154;969181;984389;948653;965654
39;975660;955039;967627;983693;945918;964161
40;974463;952787;965973;982954;942996;962578
41;973188;950382;964210;982167;939868;960896
42;971827;947808;962327;981327;936514;959102
43;970369;945048;960312;980427;932912;957185
44;968807;942084;958152;979461;929039;955129
45;967127;938894;955834;978421;924868;952919
46;965320;935455;953341;977299;920372;950537
47;963371;931742;950658;976084;915519;947965
48;961267;927728;947766;974768;910276;945179
49;958991;923382;944645;973337;904608;942156
50;956526;918673;941273;971779;898476;938870
51;953853;913565;937628;970079;891838;935292
52;950952;908019;933683;968222;884651;931388
53;947800;901994;929411;966190;876865;927123
54;944372;895445;924782;963962;868432;922458
55;940640;888324;919763;961517;859297;917350
56;936576;880578;914321;958831;849405;911752
57;932147;872153;908417;955877;838695;905611
58;927318;862990;902011;952625;827108;898873
59;922052;853027;895060;949044;814579;891476
60;916308;842198;887519;945096;801043;883353
61;910041;830436;879339;940744;786437;874435
62;903205;817670;870468;935942;770696;864645
63;895749;803829;860853;930645;753756;853902
64;887618;788839;850437;924800;735557;842121
65;878756;772629;839161;918351;716046;829212
66;869101;755129;826964;911238;695175;815082
67;858590;736271;813786;903393;672905;799638
68;847155;715996;799564;894747;649211;782782
69;834729;694252;784235;885223;624083;764421
70;821240;670997;767741;874740;597531;744463
71;806618;646205;750022;863213;569584;722826
72;790789;619869;731027;850551;540302;699436
73;773685;592004;710707;836663;509773;674235
74;755239;562652;689026;821452;478118;647185
75;735388;531885;665954;804822;445496;618274
76;714079;499814;641480;786678;412104;587524
77;691267;466586;615606;766928;378180;554993
78;666920;432395;588355;745485;343999;520791
79;641024;397476;559774;722274;309875;485078
80;613585;362112;529938;697231;276150;448073
81;584633;326628;498950;670315;243193;410063
82;554227;291389;466948;641506;211382;371397
83;522461;256792;434106;610817;181095;332489
84;489465;223253;400631;578299;152691;293814
85;455409;191193;366772;544045;126494;255892
86;420506;161023;332810;508203;102774;219271
87;385017;133118;299058;470977;81728;184508
88;349244;107802;265855;432633;63471;152132
89;313531;85320;233556;393505;48020;122619
90;278256;65824;202525;353988;35296;96352
91;243827;49360;173113;314540;25131;73590
92;210661;35861;145653;275668;17275;54448
93;179175;25150;120434;237916;11422;38878
94;149766;16958;97692;201840;7236;26679
95;122787;10942;77590;167983;4372;17512
96;98527;6723;60210;136845;2507;10938
97;77194;3910;45543;108845;1357;6463
98;58893;2139;33492;84294;690;3588
99;43620;1093;23878;63363;327;1859
100;31260;517;16452;46069;143;891
101;21595;224;10917;32273;58;391
102;14319;89;6951;21688;21;156
103;9071;31;4228;13915;7;56
104;5461;10;2446;8477;2;18
105;3106;3;1339;4874;1;5
106;1658;1;690;2627;0;1
107;825;0;332;1317;0;0
108;379;0;149;609;0;0
109;160;0;61;258;0;0
110;61;0;23;99;0;0
111;21;0;8;34;0;0
112;6;0;2;10;0;0
113;2;0;1;3;0;0
114;0;0;0;1;0;0
115;0;0;0;0;0;0
116;0;0;0;0;0;0
117;0;0;0;0;0;0
118;0;0;0;0;0;0
119;0;0;0;0;0;0
120;0;0;0;0;0;0
